Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
SEA,G0EA2FTQ3,1/15/2024,Y,N,Outdoor
SEA,G0EA2FTTY,1/15/2024,Y,N,Outdoor
SEA,G0EA2FTXP,1/15/2024,Y,N,Outdoor
SEA,G0EA2FU1G,1/15/2024,Y,N,Outdoor
SEA,G0EA2FU3C,1/15/2024,Y,N,Transit
SEA,G0EA2FU65,1/15/2024,Y,N,Transit
SEA,G0EA2FU81,1/15/2024,Y,N,Transit
SEA,G0EA2HR2A,4/16/2024,Y,N,Transit
SEA,G0EA2HR46,4/16/2024,Y,N,Transit
SEA,G0EA2HR70,4/16/2024,Y,N,Outdoor
SEA,G0EA2HR9V,4/16/2024,Y,N,Outdoor
SEA,G0EA2HRCQ,4/16/2024,Y,N,Outdoor
SEA,G0EA2HRFH,4/16/2024,Y,N,Outdoor
SEA,G0EA2HRGE,4/16/2024,Y,N,Outdoor
SEA,G0EA2HROF,4/16/2024,Y,N,Transit
SEA,G0EA2KUMY,7/24/2024,Y,N,Outdoor
SEA,G0EA2KUQR,7/24/2024,Y,N,Outdoor
SEA,G0EA2KW6T,7/24/2024,Y,N,Transit
SEA,G0EA2KW8N,7/24/2024,Y,N,Indoor
SEA,G0EA2KWAH,7/24/2024,Y,N,Transit
SEA,G0EA2KWCF,7/24/2024,Y,N,Outdoor
SEA,G0EA2KWF8,7/24/2024,Y,N,Outdoor
SEA,G0EA2KWG5,7/24/2024,Y,N,Outdoor
El Paso,G0EP2D2NA,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2Q6,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2R4,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2VX,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D2WV,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D4FP,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D4HH,4/15/2024,Y,N,Outdoor
El Paso,G0EP2D4JF,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2E3X8,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E43X,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E44V,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E46Q,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E47N,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E49H,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E4E8,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2E4G3,1/21/2024,Y,N,OUTDOOR
FORT WORTH,G0FW2FEV0,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FF1N,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FF4F,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FFEV,4/14/2024,Y,N,Special Event
FORT WORTH,G0FW2FNXM,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FPM6,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FPQ0,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FQ1D,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQ2A,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQ46,4/12/2024,Y,N,Special Event
FORT WORTH,G0FW2FQEK,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQFH,4/13/2024,Y,N,Special Event
FORT WORTH,G0FW2FQVP,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2FR29,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2FR37,4/15/2024,Y,N,Outdoor
FORT WORTH,G0FW2FR45,4/15/2024,Y,N,Special Event
FORT WORTH,G0FW2FR9U,4/15/2024,Y,N,Special Event
FORT WORTH,G0FW2FRDM,4/15/2024,Y,N,Special Event
FORT WORTH,G0FW2FRGD,4/15/2024,Y,N,Special Event
Ft. Worth,G0FW2HFCU,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HFFM,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HGHE,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HGRY,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HGXM,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HH39,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HH63,7/15/2024,Y,N,Outdoor
Ft. Worth,G0FW2HHOG,7/15/2024,Y,N,Outdoor
Galveston,G0GA1M81N,1/23/2024,Y,N,Outdoor
Galveston,G0GA1M82K,1/23/2024,Y,N,Outdoor
Galveston,G0GA1M83H,1/23/2024,Y,N,Outdoor
Galveston,G0GA1MM43,4/23/2024,Y,N,Outdoor
Galveston,G0GA1MM51,4/23/2024,Y,N,Outdoor
Galveston,G0GA1MM6Y,4/23/2024,Y,N,Outdoor
Galveston,G0GA1MXV9,7/23/2024,Y,N,Outdoor
Galveston,G0GA1MXW7,7/23/2024,Y,N,Outdoor
Galveston,G0GA1MXX5,7/23/2024,Y,N,Outdoor
"Miami, VI",G0HD2VE3K,1/15/2024,N,N,Outdoor
"Miami, Fl",G0HD2VELD,1/15/2024,N,N,Outdoor
Houston,G0HN3FE04,1/23/2024,Y,N,Outdoor
Houston,G0HN3FEAF,1/23/2024,Y,N,Outdoor
Houston,G0HN3FEF6,1/23/2024,Y,N,Outdoor
Houston,G0HN3FEH1,1/23/2024,Y,N,Outdoor
Houston,G0HN3FEST,1/23/2024,Y,N,Outdoor
Houston,G0HN3JKFT,4/23/2024,Y,Y,Outdoor
Houston,G0HN3JKQ7,4/23/2024,Y,N,Outdoor
Houston,G0HN3JKR5,4/23/2024,Y,N,Outdoor
Houston,G0HN3JKT3,4/23/2024,Y,N,Outdoor
Houston,G0HN3JKVY,4/23/2024,Y,Y,Outdoor
Houston,G0HN3NKFK,7/23/2024,Y,N,Outdoor
Houston,G0HN3NKGG,7/23/2024,Y,N,Outdoor
Houston,G0HN3NKK9,7/23/2024,Y,N,Outdoor
Houston,G0HN3NKYJ,7/23/2024,Y,N,Outdoor
Houston,G0HN3NMDP,7/23/2024,Y,N,Outdoor
"Miami, 71",G0HR2EDDY,1/15/2024,N,N,outdoor
"Miami, Fl",G0HRZED8E,1/15/2024,N,N,outdoor
JAX,G0JA25RMT,2/7/2024,N,N,Outdoor
JAX,G0JA25RNQ,2/7/2024,N,N,Outdoor
JAX,G0JA25RPN,2/7/2024,N,N,Outdoor
JAX,G0JA25RRH,2/7/2024,N,N,Outdoor
JAX,G0JA25RW8,2/7/2024,N,N,Outdoor
JAX,G0JA25RX6,2/7/2024,N,N,Outdoor
JAX,G0JA25RY4,2/7/2024,N,N,Outdoor
JAX,G0JA25T02,2/7/2024,N,N,Outdoor
Jax,G0JA2701N,1/17/2024,N,N,outdoor
Jax,G0JA2703H,1/17/2024,N,N,outdoor
Jax,G0JA2705D,1/17/2024,N,N,outdoor
Jax,G0JA2706A,1/17/2024,N,N,outdoor
Jax,G0JA27094,1/17/2024,N,N,outdoor
Jax,G0JA270A2,1/17/2024,N,N,outdoor
Jax,G0JA270C0,1/17/2024,N,N,outdoor
Jax,G0JA270DX,1/17/2024,N,N,outdoor
