Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
Camden South NJ,G0NJ25D1T,12/18/2023,N,N,Outdoor
Trenton NJ,G0NJ25U8W,1/22/2024,Y,N,Outdoor
Trenton NJ,G0NJ25UAR,1/22/2024,Y,N,Outdoor
Trenton NJ,G0NJ25UJ8,1/22/2024,Y,N,Indoor
Trenton NJ,G0NJ25V1A,1/22/2024,Y,N,Indoor
Trenton NJ,G0NJ25V9T,1/22/2024,Y,N,Outdoor
Trenton NJ,G0NJ25VH9,1/22/2024,Y,N,Outdoor
Trenton NJ,G0NJ25VOD,1/22/2024,Y,N,Outdoor
Trenton NJ,G0NJ25VYE,1/22/2024,Y,N,Outdoor
Trenton NJ,G0NJ28Q9Q,7/16/2024,Y,N,Outdoor
Trenton NJ,G0NJ28QAN,7/16/2024,Y,N,Outdoor
Trenton NJ,G0NJ28QCK,7/16/2024,Y,N,Outdoor
Trenton NJ,G0NJ28QEF,7/16/2024,Y,N,Outdoor
Trenton NJ,G0NJ28QG9,7/16/2024,Y,N,Outdoor
Trenton NJ,G0NJ28QH7,7/16/2024,Y,N,Outdoor
